@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
882,1334,1391,1391,0,1,1,0.666667,-1.33333,0
1146,1498,1865,1865,0,0,0,0.666667,-1.33333,0
1183,1692,1692,1692,0,1,0,0.666667,-1.33333,0
651,1160,1160,1104,0,1,1,0.666667,-1.33333,0
1026,1318,1658,1601,0,0,0,0.666667,-1.33333,0
1547,1830,1887,1830,0,1,0,0.666667,-1.33333,0
606,1059,1115,1115,0,1,1,0.666667,-1.33333,0
464,973,973,916,0,1,1,0.666667,-1.33333,0
349,858,858,858,0,1,1,0.666667,-1.33333,0
575,1084,1084,1027,0,1,1,0.666667,-1.33333,0
316,908,825,825,0,1,1,0.666667,-1.33333,0
366,875,875,875,0,1,1,0.666667,-1.33333,0
672,1181,1181,1181,0,1,1,0.666667,-1.33333,0
375,884,941,884,0,1,1,0.666667,-1.33333,0
359,925,925,868,0,1,1,0.666667,-1.33333,0
670,1236,1236,1179,0,1,1,0.666667,-1.33333,0
616,1182,1182,1125,0,1,1,0.666667,-1.33333,0
374,883,883,883,0,1,1,1,-1,0
683,1192,1192,1135,0,1,1,1,-1,0
567,1076,1076,1076,0,1,1,1,-1,0
649,1158,1158,1158,0,1,1,1,-1,0
377,886,886,829,0,1,1,1,-1,0
471,980,980,980,0,1,1,1,-1,0
398,907,907,851,0,1,1,1,-1,0
447,956,956,900,0,1,1,1,-1,0
627,1136,1136,1305,0,1,1,1,-1,0
835,1344,1344,1288,0,1,1,1,-1,0
389,898,898,842,0,1,1,1,-1,0
717,1226,1226,1226,0,1,1,1,-1,0
436,994,945,888,0,1,1,1,-1,0
484,1022,1050,993,0,1,1,1,-1,0
435,887,944,887,0,1,1,1,-1,0
698,1103,1264,1207,0,1,1,1,-1,0
638,1049,1049,992,0,1,1,0.666667,-1.33333,0
344,938,938,938,0,1,1,0.666667,-1.33333,0
695,1088,1088,1088,0,1,1,0.666667,-1.33333,0
344,927,927,927,0,1,1,0.666667,-1.33333,0
486,986,986,986,0,1,1,0.666667,-1.33333,0
